numOfAVs,NumberOfTasks,UsedRamRessource,AvailableRamRessource
25,927.6227417640807,2114.4985122210414,8125.501487778958
50,1858.7809560051585,2079.913532483457,8160.086467516543
75,2491.621253153716,2137.5470800638846,8102.452919936116
100,3893.1426541056453,2121.0543112504283,8118.945688749572
125,4654.136594300113,2149.6950105575065,8090.304989442494
150,5519.189048834297,2163.2693327534075,8076.730667246593
175,6399.127336981992,2160.1512302657648,8079.848769734235
200,7124.926270102087,2183.110727556697,8056.889272443303
225,7485.597621426525,2180.1750560886885,8059.8249439113115
250,8195.680131004367,2149.4559974729286,8090.544002527071
