numOfAVs,NumberOfTasks,UsedComputingRessource,AvailableComputingRessource
25,762.9924901656932,8482.39277625462,1517.607223745381
50,2144.9467408585056,8787.846522257552,1212.1534777424483
75,2655.3340381282496,8815.327452339689,1184.672547660312
100,3858.2165615571334,8875.415876454708,1124.5841235452917
125,4637.377541032387,8893.967690910229,1106.03230908977
150,5514.943298544393,8901.554332140038,1098.445667859962
175,6174.233295168026,8911.774100981715,1088.2258990182845
200,7014.627189425263,8919.938012064602,1080.0619879353983
225,7461.266719847796,8923.65235807991,1076.3476419200904
250,8288.406874787948,8929.679240944599,1070.3207590554014
