numOfAVs,NumberOfTasks,UsedStoringRessource,AvailableStoringRessource
25,762.9924901656932,34151.93884849207,65848.06115150792
50,2144.9467408585056,35288.72647058823,64711.27352941177
75,2655.3340381282496,35472.46805314847,64527.53194685153
100,3858.2165615571334,36108.80156983734,63891.19843016266
125,4637.377541032387,35629.329746914744,64370.670253085256
150,5514.943298544393,35614.935673680266,64385.064326319734
175,6174.233295168026,35261.80375931688,64738.19624068312
200,7014.627189425263,35395.92354188792,64604.07645811208
225,7461.266719847796,35546.04887024802,64453.95112975198
250,8288.406874787948,35785.599835263434,64214.400164736566
